Landmark,Road,Landmark_road,Lat,Lon
ABC Place,Waiyaki Way,ABC Place Waiyaki Way,-1.259264,36.776663
Adams Arcade,Ngong Rd,Adams Arcade Ngong Rd,-1.300039,36.780856
Adams Arcade,Ngong Road,Adams Arcade Ngong Road,-1.300039,36.780856
adams roundabout,,adams roundabout ,-1.300065,36.779716
Agriculture,Waiyaki Way,Agriculture Waiyaki Way,-1.262312,36.726638
Airport junction,Mombasa Rd,Airport junction Mombasa Rd,-1.331118,36.887874
Airport junction,Mombasa Road,Airport junction Mombasa Road,-1.331118,36.887874
Airport junction,Msa Rd,Airport junction Msa Rd,-1.331118,36.887874
Airport junction,Msa Road,Airport junction Msa Road,-1.331118,36.887874
T Mall roundabout,Langata Rd,T Mall roundabout Langata Rd,-1.312843,36.815791
T Mall roundabout,Langata Road,T Mall roundabout Langata Road,-1.312843,36.815791
T Mall roundabout,Lang'ata Rd,T Mall roundabout Lang'ata Rd,-1.312843,36.815791
T Mall roundabout,Lang'ata Road,T Mall roundabout Lang'ata Road,-1.312843,36.815791
T Mall Shell,Langata Rd,T Mall Shell Langata Rd,-1.310713,36.817465
T Mall Shell,Langata Road,T Mall Shell Langata Road,-1.310713,36.817465
T Mall Shell,Lang'ata Rd,T Mall Shell Lang'ata Rd,-1.310713,36.817465
T Mall Shell,Lang'ata Road,T Mall Shell Lang'ata Road,-1.310713,36.817465
Uthiru  ,Waiyaki Way,Uthiru   Waiyaki Way,-1.260851,36.71645
Uthiru junction,Waiyaki Way,Uthiru junction Waiyaki Way,-1.260851,36.71645
Valley Arcade,,Valley Arcade ,-1.289948,36.769518
Villa Rosa,Waiyaki Way,Villa Rosa Waiyaki Way,-1.272078,36.808849
plaza 2000,,plaza 2000 ,-1.331329,36.862253
Zambezi,Nairobi Nakuru Highway,Zambezi Nairobi Nakuru Highway,-1.21382,36.660985
Zambezi, ,Zambezi  ,-1.213866,36.661167
Zambezi,Nakuru Nairobi Highway,Zambezi Nakuru Nairobi Highway,-1.21382,36.660985
Zambezi,Nairobi Nakuru Rd,Zambezi Nairobi Nakuru Rd,-1.21382,36.660985
Zambezi,Nairobi Nakuru Road,Zambezi Nairobi Nakuru Road,-1.21382,36.660985
Zambezi,Nakuru Nairobi Road,Zambezi Nakuru Nairobi Road,-1.21382,36.660985
Zambezi,Nakuru Highway,Zambezi Nakuru Highway,-1.21382,36.660985
Zimmerman Estate, ,Zimmerman Estate  ,-1.213391,36.900208
karen eagles church,,karen eagles church ,-1.329537,36.68762
wakulima market,jogoo road,wakulima market jogoo road,-1.287814,36.831944
likoni jogoo,jogoo road,likoni jogoo jogoo road,-1.295301,36.855509
